Variable,(1) Baseline,(2) Standardized,(3) Lagged Uncertainty,(4) Log GPR,(5) Diff GPR,(6) Threat/Act
const,16.3787***,0.0000,16.7294***,87.5590***,2.9616,14.6249***
const_se,(3.1324),(0.1172),(2.9213),(15.4002),(5.3440),(3.5266)
VIX,0.9621***,0.5567***,,0.8919***,0.9287***,0.9546***
VIX_se,(0.2584),(0.1495),,(0.2338),(0.3378),(0.2478)
GPR,-0.1304***,-0.4672***,,,,
GPR_se,(0.0294),(0.1053),,,,
lag_VIX,,,0.9297***,,,
lag_VIX_se,,,(0.2317),,,
lag_GPR,,,-0.1244***,,,
lag_GPR_se,,,(0.0310),,,
ln_GPR,,,,-18.1198***,,
ln_GPR_se,,,,(3.7903),,
ΔGPR,,,,,-0.0075,
ΔGPR_se,,,,,(0.0132),
GPR_THREAT,,,,,,-0.0434**
GPR_THREAT_se,,,,,,(0.0183)
GPR_ACT,,,,,,-0.0711**
GPR_ACT_se,,,,,,(0.0311)
ΔOil,0.1195**,0.1248**,-0.0356,0.0836*,0.1175,0.1241**
ΔOil_se,(0.0555),(0.0580),(0.0633),(0.0488),(0.0791),(0.0586)
ΔDGS2_pp,2.2632,0.0439,-3.8354,2.1791,-4.6886,1.6276
ΔDGS2_pp_se,(2.8877),(0.0561),(2.9406),(2.9166),(4.1420),(2.7248)
ΔDollar,-0.3675,-0.0554,-0.3531,-0.4488,-0.1201,-0.2688
ΔDollar_se,(0.5062),(0.0762),(0.5499),(0.5096),(0.5036),(0.4682)
ΔSP500,0.2491,0.0944,-0.1654,0.2062,0.3485*,0.2742*
ΔSP500_se,(0.1531),(0.0580),(0.2005),(0.1539),(0.1912),(0.1532)
Observations (N),185,185,184,185,184,185
R-squared,0.4811,0.4811,0.4686,0.5125,0.2822,0.4901
Adj. R-squared,0.4636,0.4636,0.4506,0.4960,0.2579,0.4700
HAC Maxlags,12,12,12,12,12,12
F-statistic,5.93,5.93,4.72,7.75,3.94,5.65
Prob > F,0.0000,0.0000,0.0002,0.0000,0.0010,0.0000
