Variable,(1) Baseline,(2) VIX Only,(3) GPR Only,(4) Orthogonal GPR,(5) Differenced,(6) AR(1) TCI
const,16.3616***,3.0930,33.3969***,2.9648,-0.1023,-1.5620
const_se,(3.1352),(5.3081),(6.1053),(4.0277),(0.2327),(1.3639)
lag_TCI,,,,,,0.8825***
lag_TCI_se,,,,,,(0.0239)
VIX,0.9616***,0.9250***,,0.9319***,,0.2787***
VIX_se,(0.2586),(0.3355),,(0.2539),,(0.0902)
GPR,-0.1300***,,-0.1228***,,,-0.0106
GPR_se,(0.0297),,(0.0449),,,(0.0072)
GPR_orth,,,,-0.1300***,,
GPR_orth_se,,,,(0.0297),,
ΔVIX,,,,,0.3291***,
ΔVIX_se,,,,,(0.1273),
ΔGPR,,,,,0.0027,
ΔGPR_se,,,,,(0.0071),
ΔOil,0.1213**,0.1241,0.0611,0.1213**,-0.0351,-0.0346
ΔOil_se,(0.0555),(0.0793),(0.0784),(0.0555),(0.0370),(0.0408)
ΔDGS2_pp,2.2222,-4.9780,0.7632,2.2222,-1.1551,-1.7648***
ΔDGS2_pp_se,(2.9129),(4.1038),(4.3342),(2.9129),(0.8415),(0.6701)
ΔDollar,-0.3704,-0.1241,-0.4508,-0.3704,0.0849,0.0439
ΔDollar_se,(0.5062),(0.4993),(0.6316),(0.5062),(0.2198),(0.2051)
ΔSP500,0.2448,0.3425*,-0.0885,0.2448,0.0520,-0.0463
ΔSP500_se,(0.1518),(0.1931),(0.1720),(0.1518),(0.1141),(0.0725)
Observations (N),184,184,184,184,183,183
R-squared,0.4789,0.2834,0.1933,0.4789,0.2434,0.9294
Adj. R-squared,0.4612,0.2633,0.1707,0.4612,0.2176,0.9266
HAC Maxlags,12,12,12,12,12,12
F-statistic,5.55,4.26,1.90,5.55,3.90,567.78
Prob > F,0.0000,0.0011,0.0971,0.0000,0.0011,0.0000
